trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.1999999999999996, 'e': 0.09348072627805847}",20,15,11.010340791374752,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1999999999999996, 'e': 0.09071795328941251}",20,0,18.336492110015296,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.1999999999999996, 'e': 0.08803683258237259}",35,3,30.47069689452868,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1999999999999996, 'e': 0.08543495096732123}",25,12,23.585843510114913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1999999999999996, 'e': 0.0829099665751727}",30,10,-6.67339357699337,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.1999999999999996, 'e': 0.08045960674953244}",25,2,37.70330591844975,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1999999999999996, 'e': 0.07808166600115317}",25,17,17.185312834718605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1999999999999996, 'e': 0.07577400402284548}",30,20,17.674959346649196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1999999999999996, 'e': 0.0735345437630571}",20,2,29.445183677287027,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1999999999999996, 'e': 0.07136126955638608}",20,12,14.812702438071705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1999999999999996, 'e': 0.069252225309346}",20,12,14.80454161461679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1999999999999996, 'e': 0.06720551273974978}",25,14,20.31148431449907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
